Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cabo Verde,CPV,..,..,..,..,..,..,67,..,69,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cambodia,KHM,..,..,..,..,..,..,55,..,60,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cameroon,CMR,..,..,..,..,..,..,43,..,46,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Canada,CAN,..,..,..,..,..,..,88,..,89,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Central African Republic,CAF,..,..,..,..,..,..,32,..,33,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Chad,TCD,..,..,..,..,..,..,27,..,28,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Chile,CHL,..,..,..,..,..,..,66,..,70,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,China,CHN,..,..,..,..,..,..,76,..,79,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Colombia,COL,..,..,..,..,..,..,76,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Comoros,COM,..,..,..,..,..,..,49,..,52,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,39,..,41,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Congo, Rep.",COG,..,..,..,..,..,..,40,..,39,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Costa Rica,CRI,..,..,..,..,..,..,76,..,77,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cote d'Ivoire,CIV,..,..,..,..,..,..,46,..,47,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Croatia,HRV,..,..,..,..,..,..,60,..,71,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cuba,CUB,..,..,..,..,..,..,81,..,83,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Cyprus,CYP,..,..,..,..,..,..,75,..,78,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Czech Republic,CZE,..,..,..,..,..,..,74,..,76,..,..,..
